"ID","NAME"
82762839,"54ea7"
44332997,a15b9
97461412,"9518f"
52769880,b6423
25475045,"2cbee"
9096957,"659cb"
43566804,ecb32
45896700,"584ae"
79936093,"0bcea"
5715487,a8d98
89169441,a648f
42780017,cd572
10295385,a6615
10592198,"2b447"
8593318,d58eb
67943282,"0d991"
13582519,a0b4c
46578353,"5fb4c"
62746058,"04913"
72969959,fb037
21714729,b156f
55850237,a521f
65721976,"2e433"
46065434,"6c181"
83745488,abc60
76575401,ddbb1
1223258,bf755
34063311,"2f3e3"
36193622,f81de
81109049,"40b1b"
15329353,"674f8"
61276292,"4de6c"
26285406,"287ed"
47936117,ea2ab
74217595,f1cfb
78709271,"04a1c"
27517830,"2ca88"
14455361,e5f98
26991412,"35df2"
82738599,"80b2f"
29110701,f4407
8455960,"1fc17"
98666957,a466f
98568578,"1a1b5"
84800396,"1dca2"
24090350,"89ea6"
94513116,"1af28"
78936077,"9f7af"
49167451,"7c0e1"
23756908,"9f0bf"
8874218,d665f
54797994,de8ba
61293952,"93fb2"
71403173,"265ed"
5014741,"52830"
52651554,"2ec04"
55246893,"41e72"
75826997,"0f27c"
43490939,b22a7
43884894,"35a11"
42394568,"97589"
10532779,"81410"
18571719,"0b5d4"
58067681,"03f8a"
36140499,"5f128"
64060368,a9f73
91882538,"61756"
69224929,"34218"
88330840,"256a7"
55261632,f9a72
54993477,d8425
47521395,"89af5"
7965237,"2b281"
23646984,debf7
77605579,"97df4"
61683179,"4c659"
73530221,f234b
41925608,"74cf1"
34814587,d10ea
84146713,bfd14
85456296,"8e986"
66349231,"1edbd"
91528759,"68720"
41903373,"96d8a"
72405280,afdd0
98569999,c3a55
21182483,adeb5
15337209,"5ca6f"
764657,"299b2"
76493627,"069d0"
46497021,"52478"
95000794,"3d612"
86541926,"29942"
89289472,"4e47e"
17622660,a9282
31225320,"6295e"
34677159,dcd51
77838174,e14db
66830910,a00b4
69243747,"39120"
14153036,"03eb2"
45713980,"4c30a"
41188323,"7efb6"
71152344,a9392
81199664,b3f26
2422540,f1a81
15231321,"2d902"
67592255,"47756"
47170988,"1c78a"
87918497,"08520"
45912578,d0b4d
81072540,fb63d
27165094,"5fd6c"
86483945,"83656"
98709138,"4e10b"
97118138,"4e9fa"
56862419,"1904b"
6322742,"949c2"
8370358,"865c4"
2132153,cde14
65177705,"06da5"
19187054,a8e39
77954709,"6e7b5"
8456009,"394bd"
59071812,edb08
46260369,ef3e1
47300739,b85f0
82370754,"7b5e7"
39337698,ccebb
6079496,"0c366"
61471173,bf41c
13236855,"35183"
98259715,"9aa0b"
47802919,f7ceb
23918044,"80db3"
24216601,"2e1e4"
44853047,dc0c2
34258510,"95a9f"
47234293,"28a6c"
89125001,"5f7da"
68266418,"02c12"
94936961,"3666c"
89404524,"12a19"
44253326,dfc10
36172507,ca140
88997735,"6e7fa"
65404421,"35134"
41704408,"75558"
3744001,"684cf"
95796372,"58472"
86435083,"0c8d1"
80099251,eae0b
43970062,"77489"
14537942,aa8a5
80490365,ba64c
98475492,"94291"
46621089,c1015
99521299,"6e9f6"
71314900,"93c65"
59291431,da1af
84703117,"45705"
75736365,ba306
76662918,"6cf30"
74968191,da7cb
34429384,"698f4"
79444611,"52558"
99583171,"6300c"
77078791,"1b2f3"
68248509,"9f8b3"
3012574,"59281"
43002348,"75f1c"
89931474,d13fb
21676898,"906ca"
2477820,cd7d5
51986526,"7499a"
65443641,"20721"
75550479,"63b33"
46466356,"4ea8c"
2906485,"0b1ee"
37026030,"3ab0b"
77336233,"3e577"
36154193,"8a4a6"
90903593,"5384b"
1780550,a4a20
15698150,"94081"
82239922,"36a1a"
21275191,"3795a"
64069357,"568f8"
25841094,"030df"
14356604,"18316"
40205664,b2413
34698199,e25a8
97414841,b0d24
38598213,"56d7c"
56632513,"38a04"
28633846,c7f3c
34350494,"0e49d"
94954791,"83a78"
94986614,"80183"
50152570,"7bb2f"
98019328,"2ec04"
10994132,"5f0ff"
26714582,bc69c
8629890,"2b5e0"
23536710,"47973"
69528512,"58704"
9211353,c0cb4
49259132,"467b5"
53021353,"2f426"
64073552,d973f
40205340,"60921"
87239522,"1442f"
95702891,e8433
33199254,"57739"
69459842,fdf6a
20943735,"46b7e"
72792417,"3703b"
94562336,"24905"
41552659,c8154
38439526,"682fa"
56377081,"10fa8"
25208833,e45e5
71574128,afa6c
33028954,baec5
83383010,"5787e"
87016622,"87987"
2868752,"82e69"
71356718,ed645
29958899,a934f
27008641,cdba3
43534126,dee96
84070647,"45c6f"
5535197,"0e1ba"
48532943,"73acc"
72309170,"7ba8f"
37077775,"6e6f7"
53695215,fe25c
86509148,"24063"
60416910,d8437
69338982,f1d5c
73688488,b001d
76030461,"32a2d"
81382398,"6f242"
61991449,"6eca0"
45395970,"3624f"
4600409,"45d35"
78844081,fde58
56633877,"1a6bf"
66446967,fa95e
52787503,e874e
4939885,f52c1
18770313,"3ca3e"
12177004,"0cfa3"
62430283,c0fc4
76582379,"1e8ac"
93192683,"3ea46"
81419587,a9aaf
8238041,b93c2
23746529,"9a5f5"
77041700,"0e958"
50073569,a7568
58022546,"7caf7"
51766286,f46b2
61356535,"48c23"
99877619,cb0b1
45465967,edc1f
64954830,"627d9"
24948106,"555a7"
89420558,cf30e
74457682,b2425
9910971,d48f9
18189339,d416f
56398720,"68f84"
7871667,ac8c4
41973213,"3d73f"
26646068,ee5d4
28516403,"7fc0a"
1997078,"52466"
81296886,"69781"
26667163,"24a10"
75004141,b82bc
85074236,a7584
41373250,b2d55
20423657,"08a64"
15690263,"9de49"
14302115,"04ed7"
30527834,"13417"
51309837,"6b683"
136432,"7ae6e"
40803708,"49b8b"
74042595,"2a323"
39575951,"35bbf"
85559754,"60393"
69451786,"5673f"
49546179,"5b735"
16311358,"8a6d0"
64000219,"4f24a"
69201963,"3ba39"
38835363,"75a1f"
15054261,"7aa97"
36512720,"6fbaa"
58253365,b4479
78199475,"0936e"
61509764,"0e82d"
64890262,"89543"
79327137,dbb5b
23203278,"400e4"
26918078,f6430
2614010,"7c50c"
7403511,"2cf0a"
17140641,"59fab"
59040611,"86045"
67505863,e3029
51245923,"6f103"
66119795,"5b292"
95062831,"65166"
11115664,"6e3f9"
55632171,b55c3
56970297,"16065"
81746124,b37dc
40443707,"9f555"
32715354,"19e35"
57598382,"4fcbb"
99931101,a4cbe
80305508,"7964d"
26424777,"7573c"
79321221,"7227c"
69280224,f99c1
2433291,bffa4
22710544,"3d63a"
9600743,"27703"
78019244,"5920a"
95958988,"1cb62"
21047604,ddd0c
36273618,e2986
99770334,"14a93"
69173816,"17522"
16369526,e8187
88456676,"9ec8f"
33351140,c4e06
37561608,"30b03"
13510323,d6976
18641691,ce8e3
32599243,fa4ee
51610420,abe6d
87204822,"66612"
92397870,"3fd95"
70716152,"237b9"
12026084,"5de1c"
92050260,"5492b"
40720218,"497e7"
45231824,d0902
92922727,e396b
58445419,"3c181"
74158454,"2750a"
83001871,"334f6"
9609495,"55e87"
35563596,ae700
89222889,f63ce
75162549,"5e3ab"
25082469,"24049"
103996,e1f85
76233732,c50b5
47504976,"7cc78"
16490986,"125a7"
85783969,"61d08"
81476565,"85ca2"
75999042,"3c38e"
10692748,c9d6b
19170858,"57289"
68011594,"45073"
19682595,"0e674"
61864982,"3ea04"
98291330,"998ae"
10750460,"22ec6"
19636796,"59e3d"
76345014,"581e0"
73824125,"489b6"
15553286,"56627"
31095337,"6635a"
50831858,"9883e"
85947287,"6d364"
75511760,"5c4d0"
61197894,"3f47a"
83154167,"16995"
29148153,"93922"
5427436,"81c21"
40787931,"56385"
26123796,"8b69f"
29260766,"9bb32"
20840415,"9e7ef"
32621016,"85c80"
32235603,"0d51d"
18887337,f4d65
68738997,e744b
36054934,"6e06b"
66392796,"9958f"
36968755,d243c
4871199,e29c8
59834024,"669d9"
93005691,"7dd54"
28601938,"55673"
6385632,"043eb"
63909601,"3af9f"
56811760,"58e89"
4237064,ccb45
69198399,d0aea
76636042,be090
33299228,"5de84"
42960980,ed5da
16565592,"7a8c3"
28097461,"67520"
84761450,a45e3
57590440,"62280"
31365335,e0391
77627432,"15a45"
92633228,"09af9"
61384477,"85444"
32606029,"1d8de"
67054279,"21eca"
80577078,b8b1c
27475992,"28a4d"
96850175,"4f8e9"
92869422,"75c2c"
92867474,"67d15"
28657238,"515e1"
8680276,d9ff7
7010126,b8bcb
55069943,"2f395"
83237812,e42c8
85888959,"38410"
82749943,a3e9a
99248312,fec10
40968469,"1d5f8"
85166130,dd9bf
49440269,"0682b"
72869970,"3fe33"
39567034,a8e5f
95943945,fd066
66831682,"5fa11"
6306477,"55103"
18337955,"4a7ea"
91662875,"14651"
76553056,"47305"
29542218,"9d04a"
72324671,"0ac0f"
8288809,fcdeb
6565360,e8657
50142582,"4c6e2"
93620845,"21f19"
27512840,c7361
80156379,bd417
75355675,b62fc
10350443,b618d
18457364,"691f7"
57535963,"9e3b5"
27067041,ff20c
96450150,"7c6b7"
88949509,"64f48"
21989339,"23e27"
17251891,"8ac78"
29881899,"01968"
12489095,e068b
68355733,"3cd5b"
86357107,d5a34
25583471,f42cd
8872001,"5d511"
38316808,c0999
48171368,"343fc"
70404745,da7a5
4147869,"6a792"
45166832,"1e782"
20839012,"5650a"
89439778,effef
11804695,"7796f"
19331225,ea4b5
61051043,"91f90"
85988822,d859e
84328254,be7c1
28337466,"5b844"
79457583,"60b63"
54656920,"0b8aa"
23363254,"7dfc8"
51989584,f2b27
77532827,"7e423"
5217483,"1f1ec"
1336757,"78154"
78441067,"501b7"
78349490,"00281"
82670730,"6b6a9"
65598484,"4402e"
2334648,"47c77"
53971983,cd654
4455866,"2153d"
98913639,a801c
39256381,b1d37
55648504,"399cf"
4014178,e8d72
75432879,ed60a
97097128,"923d0"
65949538,ffda7
79167098,"660f2"
10629040,"68e5e"
89447919,"83ef1"
3849128,"028fc"
68102181,defd6
59299327,"2527a"
13767599,"0ef55"
27890467,"84a81"
6010511,a8e43
63185538,"95128"
46430651,d612a
13512553,aa29b
38862669,"45d17"
16777767,"07da8"
69013587,c6d35
60258272,ad3ca
23784906,c8643
9588799,"820a2"
68123045,"149dc"
8038694,"43df0"
39627805,"69271"
80580084,f9a17
74371383,a5b5f
87835549,c15c0
99533018,"3a976"
607432,"78c20"
15744064,c10ea
93670362,"3898b"
38040336,"0603e"
79733144,"6a872"
72566746,e048c
61169905,"26faa"
9127508,"4d037"
22893535,"39736"
52829622,e46d0
97721033,"6674c"
81233051,"83bbe"
63938709,a87dd
83738038,"113a5"
15574377,"00d29"
42270840,d47df
62976593,b2953
16117740,ee3f1
39447755,"01696"
4447715,e6f7a
29476823,"69c60"
20030235,"7763d"
15283082,"7aabb"
10106473,"75e20"
54475280,abd0e
44072084,"55390"
47092105,"27e65"
98101276,c7a2f
40095325,"9dedb"
78899722,"74c2b"
38236809,"45bc0"
16401909,"30d73"
67505009,bac0b
34978029,"57e9e"
57037497,"3e716"
68910204,bf362
95956442,"73799"
2980582,cffcb
93023115,b0627
40613976,"3b36b"
34457527,"0f01d"
89167265,"5290b"
84060309,"96697"
94640522,f3352
41627171,dcc40
39151572,"16a08"
69235349,"06bc9"
63107523,ffe9c
75924815,"2a2a2"
74603803,b012b
34148958,"9699f"
77396006,b43af
63183524,"29e82"
3922925,"86fe4"
5883893,"37733"
76487674,f3d7e
310789,"5a9c4"
17515962,fe79c
30006210,"40d75"
12474360,"369e7"
66956976,"514cd"
59913337,"0b3b8"
35740644,"23caf"
39852232,"5e76e"
35526631,"67c6e"
16335941,ee074
90643215,"3c378"
75197656,dc47e
12966555,"248a8"
69585676,"70d60"
5428874,"600fd"
76877553,"550c4"
11813667,"59c1d"
32561716,"6cb0f"
12349631,"8ac2b"
41587566,"107df"
79017113,"99300"
27037069,e5c84
2550333,"6ecea"
5122737,"6f272"
74379029,"68468"
67096950,e9cde
5430813,"3e519"
99312925,da12f
38068280,"9b0f3"
29481028,db050
17525036,bcd08
67646459,"05e0b"
27557427,"48fc8"
14773012,"1393e"
32670417,"66698"
87780848,"5846c"
73802389,e3902
12217777,"9e3e1"
67916285,"16416"
80449456,"20923"
17293121,b5e12
4524229,"1dfe0"
30322284,c695f
35405370,"73edf"
99801492,e9444
77580041,e9cb0
75807385,f3826
42119975,"7ac67"
18013082,"258a1"
63168818,"5178a"
38089827,bd31e
55187389,"57321"
5751965,b3291
12600860,"31abd"
87648680,d908b
51917209,a8ba0
97588884,"07209"
86933935,"1097a"
73444838,"67c3f"
13046543,d9429
86880801,f1cc1
33316363,"24714"
51083713,"5e700"
70743304,d7af6
84369390,ff6a3
66328706,cf4ed
920924,"3909d"
20539234,a9921
81957151,"1fb60"
72332786,"751ff"
36708610,"56480"
46468536,afd14
52524730,"9a13c"
79753079,"1ae00"
42585952,f5872
91355414,b0494
52479322,b3535
74908425,"0d585"
50946205,"79b9b"
93802099,"041dd"
23724064,c9297
6538358,d94da
10712255,"32189"
44687652,f0417
52655115,"3b3a5"
98258349,"84deb"
93012619,c3f3a
82914656,"388e2"
38264926,f0699
80801719,c8668
90848346,"51c2c"
98903129,c36af
61524371,"138e2"
78834923,d9303
44144215,"8d653"
29225814,"16da3"
57992556,"2f870"
38826266,"5c113"
15766072,"5cecf"
50118999,"8a2f7"
10366369,"6f920"
45890049,"940d3"
78613640,"2267f"
80648737,cc825
24803278,"56c19"
45423674,"3c0b1"
39820337,b4661
47773358,e8271
49310800,"3cc08"
6945010,"428d9"
88158024,"35797"
12497388,"8711e"
44028178,"8a65d"
24058919,"5f716"
60865885,f2350
39921573,f19a0
10716941,"8ab48"
44327763,ed15a
45775052,c6ca7
70776149,d1e2d
32771383,"8290d"
85670958,"16b70"
32805790,"66825"
52271418,"87edc"
97904866,"9f4cb"
89749707,"3c703"
24100672,"5efcf"
50165441,"37635"
36237353,"8df4b"
37020769,f1b1b
77258452,d6add
34723695,"88850"
64424174,e5996
11546073,"63158"
39557843,"6e402"
47684395,"4585d"
49982945,a47ff
20516429,f0471
39965673,"06080"
74699956,c5793
59608124,"82c50"
60254789,"3187f"
8367899,fa483
16697006,ba062
41932054,fabfe
46436002,"259dc"
4895577,"49e03"
75091979,"95edd"
82687429,"656e1"
95233369,"9e585"
65247170,"80438"
82595946,"4ddd7"
82098475,"4be0e"
16507542,"6c802"
74757056,"8de25"
